candidate_control_labels,candidate_perturbation_columns,cell_line_type_columns,combination_support,condition_timepoint_batch_columns,dataset_id,eligible_common_core,eligible_context_expansion,eligible_external,filename,metadata_completeness_flags,n_controls,n_obs,n_unique_perturbations,n_vars,obs_columns,perturbation_modality,primary_perturbation_column,size_bytes,source_study
control;non-targeting_00000;non-targeting_00001;non-targeting_00002;non-targeting_00003;non-targeting_00004;non-targeting_00005;non-targeting_00006;non-targeting_00007;non-targeting_00008;non-targeting_00009;non-targeting_00010;non-targeting_00011;non-targeting_00012;non-targeting_00013;non-targeting_00014;non-targeting_00015;non-targeting_00016;non-targeting_00017;non-targeting_00018;non-targeting_00019;non-targeting_00020;non-targeting_00021;non-targeting_00022;non-targeting_00023;non-targeting_00024;non-targeting_00025;non-targeting_00026;non-targeting_00027;non-targeting_00028;non-targeting_00029,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=42256;present=True,replicate,SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen,,,,SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=False,4732,112260,4115,4191,cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;replicate;tissue_type,RNA,perturbation,21015792,unknown/local scPerturb record
control,guide_counts;guide_id;ngenes;nperts;perturbation;perturbation_2;perturbation_type;perturbation_type_2;target,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,sample,ShifrutMarson2018,,,,ShifrutMarson2018.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,3541,52236,21,33694,cancer;celltype;disease;guide_counts;guide_id;ncounts;ngenes;nperts;organism;patient;percent_mito;percent_ribo;perturbation;perturbation_2;perturbation_type;perturbation_type_2;sample;target;tissue_type,RNA,perturbation,871481676,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,SrivatsanTrapnell2020_sciplex2,,,,SrivatsanTrapnell2020_sciplex2.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,529,24262,5,58347,cancer;cell_line;celltype;chembl-ID;disease;dose_value;hash_umis;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;pval_demultiplexing;qval_demultiplexing;tissue_type;top_oligo;top_to_second_best_ratio;well,RNA,perturbation,145178504,unknown/local scPerturb record
control,perturbation;perturbation_type;target,cancer;cell_line;celltype;disease;organism;tissue_type,rows=44758;present=True,replicate;time,SrivatsanTrapnell2020_sciplex3,,,,SrivatsanTrapnell2020_sciplex3.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=True;batch=False,17578,799317,189,110983,cancer;cell_line;celltype;disease;dose_unit;dose_value;ncounts;organism;pathway;pathway_level_1;pathway_level_2;perturbation;perturbation_type;plate;replicate;target;time;tissue_type;well,RNA,perturbation,2526631614,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_2;perturbation_type;perturbation_type_2,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,SrivatsanTrapnell2020_sciplex4,,,,SrivatsanTrapnell2020_sciplex4.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,16519,98437,8,58347,cancer;cell_line;celltype;chembl-ID;disease;dose_value;dose_value_2;hash_UMI_counts;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_2;perturbation_type;perturbation_type_2;plate_id;tissue_type;well_id,RNA,perturbation,253335945,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;number_of_cells;organism;tissue_type,rows=0;present=False,,SunshineHein2023,,,,SunshineHein2023.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,3536,90380,10000,33538,UMI_count;cancer;cell_line;celltype;coverage;disease;gem_group;good_coverage;guide_id;match_type;matched_library_element;ncounts;ngenes;nperts;number_of_cells;organism;percent_mito;percent_ribo;perturbation;perturbation_type;read_count;tissue_type,RNA,perturbation,743672579,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type;sgRNA_read_count;sgRNA_umi_count,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,batch,TianKampmann2019_day7neuron,,,,TianKampmann2019_day7neuron.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,15580,182790,10000,33752,batch;cancer;celltype;disease;guide_id;ncounts;ngenes;nperts;organism;percent_hemo;percent_mito;percent_ribo;perturbation;perturbation_type;sgRNA_read_count;sgRNA_umi_count;tissue_type,RNA,perturbation,268921535,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type;sgRNA_read_count;sgRNA_umi_count,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,batch,TianKampmann2019_iPSC,,,,TianKampmann2019_iPSC.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,10687,275708,10000,33752,batch;cancer;celltype;disease;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sgRNA_read_count;sgRNA_umi_count;tissue_type,RNA,perturbation,350848489,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,batch,TianKampmann2021_CRISPRa,,context_expansion_candidate,,TianKampmann2021_CRISPRa.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,434,21193,101,33538,batch;cancer;celltype;disease;guide_id;ncounts;ngenes;nperts;organism;percent_hemo;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,CRISPRa+RNA,perturbation,154788473,Tian et al. 2021
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,batch,TianKampmann2021_CRISPRi,,context_expansion_candidate,,TianKampmann2021_CRISPRi.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,437,32300,185,33538,batch;cancer;celltype;disease;guide_id;ncounts;ngenes;nperts;organism;percent_hemo;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,CRISPRi+RNA,perturbation,289389479,Tian et al. 2021
,ngenes;nperts;perturbation;perturbation_type,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,,WeinrebKlein2020,,,,WeinrebKlein2020.h5ad,perturbation=True;control=False;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,0,65075,5,25289,age;cancer;celltype;disease;library_names;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,RNA,perturbation,228524613,unknown/local scPerturb record
control,Guide.Class;guides;nCount_GUIDE;ngenes;nperts;perturbation;perturbation_type,Cell_cycle_phase;cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,WesselsSatija2023,,,external_candidate,WesselsSatija2023.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,424,30707,187,21052,10X_lane;CRISPRcas13_Array;Cell_cycle_phase;Guide.Class;HTO;ID.g1;ID.g2;UMI.g1;UMI.g2;cancer;cell_line;celltype;disease;fraction.g1.over.all;fraction.g1.over.g2;g1.by.g2;guides;nCount_GUIDE;ncounts;ncounts_ADT;ncounts_HTO;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,RNA,perturbation,219393529,Wessels/Satija et al. 2023
GFP;control,guide_id;ngenes;nperts;perturbation;perturbation_type;target,cancer;cell_line;disease;organism;tissue_type,rows=6144;present=True,batch;replicate;sample,XieHon2017,,,,XieHon2017.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,7088,13283,3385,26539,age;batch;cancer;cell_line;disease;filename;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;replicate;sample;sex;target;tissue_type,RNA,perturbation,117356359,unknown/local scPerturb record
control,gRNA_UMI_counts;guide_id;ngenes;nperts;perturbation;perturbation_type;target,Cell_cycle_phase;cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,XuCao2023,,context_expansion_candidate,,XuCao2023.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,2758,98315,204,59429,Cell_cycle_phase;cancer;cell_line;celltype;disease;gRNA_UMI_counts;guide_id;nascent_MT_ratio;nascent_UMI_counts;nascent_ratio;ncounts;new_exon_ratio;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;target;tissue_type;whole_exon_ratio,RNA,perturbation,336637209,Xu/Cao et al. 2023
control,ngenes;nperts;perturbation;perturbation_type,cancer;celltype;disease;organism;tissue;tissue_type,rows=0;present=False,Sample;sample,ZhaoSims2021,,,,ZhaoSims2021.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,88313,165748,7,60725,GEO;Sample;age;cancer;celltype;chembl-ID;diagnosis;disease;dose_unit;dose_value;library;location;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sample;sex;tissue;tissue_type,RNA,perturbation,586888140,unknown/local scPerturb record
